X,Y,losS_mean,losS_var
126.13642450271101,1463.7027534037406,-0.009671135858014324,2.2080419449270387e-05
138.1846172737952,1484.5188374926363,-0.010680435647980574,2.3534382159534854e-05
150.2328100448795,1505.3349215815324,-0.011747486770026405,2.5198455069403074e-05
162.281002815964,1526.1510056704285,-0.012875800882568636,2.7101480565645048e-05
174.3291955870483,1546.9670897593244,-0.014063552249517663,2.9275246011851302e-05
186.3773883581325,1567.7831738482205,-0.015324765586076122,3.1750418011706046e-05
198.425581129217,1588.5992579371166,-0.01665736265607179,3.456223931286821e-05
210.4737739003013,1609.4153420260125,-0.01806475640306157,3.774650291759959e-05
222.52196667138548,1630.2314261149083,-0.01954972662763295,4.134016886635293e-05
234.5701594424701,1651.047510203805,-0.021104882131618596,4.5384647067237625e-05
246.6183522135543,1671.8635942927006,-0.022753876564593517,4.9911804113772615e-05
258.66654498463856,1692.6796783815964,-0.024489624910561364,5.4963498906442426e-05
270.7147377557231,1713.4957624704928,-0.026313860793995197,6.057864153265894e-05
282.7629305268073,1734.3118465593886,0.039356167670977514,2.7405215094013292e-05
294.8111232978916,1755.1279306482843,0.039768903143057185,2.4811522623628836e-05
306.8593160689761,1775.944014737181,0.04014468797949644,2.253298019610185e-05
318.9075088400603,1796.7600988260765,0.04047494060261578,2.0532862833892614e-05
330.9557016111446,1817.5761829149728,0.04076159501463592,1.8785585357786335e-05
343.00389438222913,1838.3922670038687,0.04100327109264609,1.7263769057885318e-05
355.0520871533134,1859.2083510927648,0.04120042199843032,1.5942830896913882e-05
367.10027992439757,1880.024435181661,0.041349144566617826,1.4796756048947583e-05
379.1484726954822,1900.8405192705568,0.04145030591627173,1.3804600208656875e-05
391.1966654665664,1921.656603359453,0.041503577529238826,1.2946316371289105e-05
403.2448582376506,1942.4726874483488,0.04150874491179331,1.2203557725280623e-05
415.2930510087351,1963.2887715372449,0.04146812423891337,1.1561393911131593e-05
427.3412437798194,1984.1048556261412,0.04137740867995484,1.1002108825141648e-05
439.38943655090367,2004.9209397150366,0.041239522269378284,1.0514354563240114e-05
451.4376293219881,2025.737023803933,0.04105522588302419,1.008680010327465e-05
463.4858220930725,2046.5531078928288,0.04082552880286407,9.709692796532705e-06
475.5340148641567,2067.3691919817256,0.04055149299908619,9.374594286897691e-06
487.5822076352411,2088.185276070621,0.040236083262028495,9.07567997513256e-06
499.6304004063254,2109.001360159517,0.039877730891830485,8.804577011193016e-06
511.6785931774097,2129.817444248413,0.03947989068917755,8.55768627042954e-06
523.726785948494,2150.6335283373087,0.039044508182092874,8.331059278404419e-06
535.7749787195785,2171.4496124262055,0.038574151643813476,8.12205586591958e-06
547.8231714906627,2192.2656965151004,0.038070187248907886,7.92716861628442e-06
559.871364261747,2213.081780603997,0.03753583459593243,7.745522681633544e-06
571.9195570328314,2233.897864692893,0.03697272861825024,7.574205305432253e-06
583.9677498039157,2254.713948781789,0.036384485515706146,7.413658696161585e-06
596.015942575,2275.5300328706853,0.03577380586058174,7.2631671746589475e-06
608.0641353460845,2296.3461169595817,0.035142953361635684,7.121179407365656e-06
620.112328117169,2317.162201048477,0.03449535899610704,6.988807732639522e-06
632.160520888253,2337.978285137373,0.03383334287610406,6.863928962535064e-06
644.2087136593375,2358.7943692262693,0.03316009744325098,6.747313709416895e-06
656.256906430422,2379.610453315166,0.03247849973181903,6.6388628833627785e-06
668.3050992015062,2400.426537404061,0.03179141679430283,6.538866471475275e-06
680.3532919725906,2421.242621492957,0.031101717198514102,6.44641939402123e-06
692.401484743675,2442.0587055818537,0.030412077540576676,6.361804291189217e-06
704.4496775147591,2462.874789670749,0.02972529615972311,6.284921228401296e-06
716.4978702858435,2483.690873759646,0.02904391783929694,6.215619437412768e-06
728.546063056928,2504.5069578485413,0.028370192734677415,6.1544881651499785e-06
740.5942558280121,2525.3230419374368,0.027706982569804833,6.099880240903628e-06
752.6424485990967,2546.1391260263335,0.02705620407559769,6.052361213894728e-06
764.6906413701811,2566.9552101152294,0.026420046029968145,6.011777069847303e-06
776.7388341412651,2587.7712942041258,0.025800337369420195,5.977924648598282e-06
788.7870269123496,2608.587378293021,0.02519884519423094,5.950626438556586e-06
800.835219683434,2629.4034623819175,0.024616973450817252,5.930360319836373e-06
