X,Y,u,u_sigma,lx,ly,lz
-1.7038935407926157,1.5697689463015814,-0.007150402688218034,0.0048581625732143805,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-2.035874752036459,1.8164276159289166,0.01791623191623734,0.006132443985059223,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.9030822675389218,1.8164276159289166,0.021086884601453748,0.006031221309927481,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-2.069072873160844,1.9397569507425847,0.011841679448257538,0.00685704525199424,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-2.0026766309120747,1.9397569507425847,0.03168467771883893,0.004270057843331496,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-2.069072873160844,2.0219765072850295,0.011072454606737954,0.006875839397765514,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-2.0026766309120747,2.0219765072850295,0.021738147159169822,0.006931281211567551,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.9030822675389218,1.980866729013807,0.04095288930186649,0.006592150227022326,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7702897830413844,1.8164276159289166,0.01543641850966579,0.006764361869217027,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.6374972985438467,1.8164276159289166,0.011566707621283196,0.006443025010261394,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7702897830413844,1.980866729013807,0.03168379490070963,0.005303317993812705,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.6374972985438467,1.980866729013807,0.022174771618083382,0.0001329922949871805,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.8034879041657688,2.104196063827475,0.049624980319276486,0.0038520780945896535,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7370916619169998,2.104196063827475,0.037707353971235334,0.00022934036164734314,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7702897830413844,2.309744955183588,0.029334737008872274,0.00010173892073723408,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.6374972985438467,2.309744955183588,0.031266112042498004,0.00014879054404730419,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.9694785097876908,2.5564036248109234,0.0037142543162406493,5.798911276390312e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7702897830413844,2.474184068268478,0.013737311653516436,4.6101593738275875e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.6374972985438467,2.474184068268478,0.022891942097400367,5.422018602293355e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7702897830413844,2.6386231813533687,0.006723104555767366,3.756175595599624e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
