X,Y,lxs,lys,lzs,lxa,lya,lza
0.3791484726954822,1.9008405192705569,-0.610951,-0.109951,0.783996,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.3911966654665664,1.9216566033594529,-0.610964,-0.10994,0.783988,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.40324485823765066,1.942472687448349,-0.610977,-0.109929,0.783979,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.41529305100873515,1.963288771537245,-0.610978,-0.109988,0.78397,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.4273412437798194,1.9841048556261411,-0.610992,-0.109977,0.78396,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.4393894365509037,2.0049209397150367,-0.611007,-0.109966,0.78395,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.45143762932198817,2.025737023803933,-0.611023,-0.109955,0.783939,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.4634858220930725,2.0465531078928287,-0.61104,-0.109945,0.783928,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.4755340148641567,2.0673691919817254,-0.611057,-0.109934,0.783916,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.4875822076352411,2.088185276070621,-0.611062,-0.109995,0.783903,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.49963040040632545,2.109001360159517,-0.611079,-0.109984,0.783891,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.5116785931774097,2.129817444248413,-0.611096,-0.109973,0.78388,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.523726785948494,2.1506335283373086,-0.611112,-0.109963,0.783869,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.5357749787195785,2.1714496124262053,-0.611121,-0.109987,0.783858,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.5478231714906627,2.1922656965151006,-0.611136,-0.109976,0.783849,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.559871364261747,2.213081780603997,-0.611143,-0.11,0.783839,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.5719195570328315,2.233897864692893,-0.611163,-0.109954,0.783831,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
0.5839677498039157,2.254713948781789,-0.611176,-0.109942,0.783822,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
