X,Y,ux,uy,uz,sx,sy,sz,lxa,lya,lza,lxd,lyd,lzd
5.19838095729,-24.6612728131,-0.005095,0.0008449999999999,0.012275,0.000522999999999998,0.0005189999999999984,0.002471999999999999,-0.54803,-0.106166,0.829694,0.61458,-0.115859,0.7803
-24.7115458538,-39.7027831445,-0.007758,-0.001438,-0.001744,0.0006359999999999957,0.0006609999999999959,0.003176999999999999,-0.516142,-0.101164,0.850508,0.635634,-0.118774,0.762799
-11.1087169378,54.103902334,-0.004498,-0.000334,-0.026103,0.0005199999999999972,0.0005179999999999961,0.002419999999999993,-0.546875,-0.105727,0.830511,0.638661,-0.118695,0.760278
-21.688370778,52.5319480041,-0.0022069999999999,-0.000331,0.001716,0.0005359999999999975,0.0005419999999999985,0.0025239999999999915,-0.536508,-0.104129,0.837447,0.6463,-0.11969,0.753639
-29.6362076929,59.5674468838,0.001008,-0.000889,0.013804,0.0006489999999999952,0.0005529999999999956,0.002924,-0.53011,-0.103119,0.841635,0.653046,-0.120478,0.747674
-0.4707278751079999,34.4196611225,-0.006994,-0.011079,0.012917,0.0005689999999999988,0.0005309999999999988,0.002587999999999998,-0.553614,-0.106816,0.825895,0.628035,-0.117465,0.769268
17.838418531600002,24.2969787831,-0.002677,-0.005276,-0.041956,0.000673999999999998,0.0006109999999999974,0.0032659999999999894,-0.568553,-0.109074,0.815383,0.612015,-0.115346,0.78239
-19.0141377522,41.785530343400005,-0.00419,0.006997,0.023367,0.000687999999999895,0.0006359999999999957,0.0033649999999999995,-0.537104,-0.104251,0.837049,0.642839,-0.119321,0.756651
-4.13559693654,65.9727821595,-0.000739,0.001131,-0.00055,0.000545999999999998,0.0005219999999999989,0.002496999999999995,-0.555542,-0.107037,0.82457,0.635099,-0.118222,0.76333
7.58674189923,66.538996381,0.003217,-0.004196,0.019178,0.000609999999999998,0.0005589999999999963,0.002953,-0.566846,-0.108715,0.816619,0.626646,-0.117123,0.770453
-6.521665336070001,27.3332680425,-0.007113,-0.006732,0.017889,0.0005279999999999994,0.000513999999999997,0.0024349999999999992,-0.546503,-0.105747,0.830754,0.631506,-0.117951,0.766347
-8.81147063438,-36.9738372802,-0.004625,0.002437,-0.00173,0.0005159999999999957,0.0005089999999999975,0.0024109999999999934,-0.532323,-0.103704,0.840166,0.623768,-0.1172,0.772773
-22.7050196707,29.3868973363,-0.005277,0.010858,0.0041319999999999,0.000516999999999998,0.0005099999999999986,0.0024109999999999934,-0.531263,-0.103368,0.840878,0.64388,-0.119504,0.755736
-51.6158518144,22.9690766691,-0.007416,0.00461,0.004631,0.0005179999999999961,0.0005409999999999993,0.0024349999999999992,-0.501085,-0.098572,0.859766,0.663794,-0.121987,0.7379
37.704047333000005,60.6602412986,-0.003685,-0.0018939999999999,0.018526,0.0005369999999999984,0.0005219999999999989,0.002493999999999991,-0.593809,-0.112728,0.79667,0.603055,-0.114019,0.789509
-38.1955088051,0.4138405378499999,-0.013465,-0.000463,0.027876,0.0006409999999999988,0.0005849999999999975,0.002937999999999999,-0.510367,-0.100121,0.854109,0.651232,-0.120619,0.749232
